2026-04-15 16:11:09,441 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:11:09,442 | WARNING | aiogram.dispatcher | Sleep for 5.045747 seconds and try again... (tryings = 32, bot id = 8696591670)
2026-04-15 16:11:14,595 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:11:14,595 | WARNING | aiogram.dispatcher | Sleep for 5.151584 seconds and try again... (tryings = 32, bot id = 8696591670)
2026-04-15 16:11:19,858 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:11:19,860 | WARNING | aiogram.dispatcher | Sleep for 5.009609 seconds and try again... (tryings = 33, bot id = 8696591670)
2026-04-15 16:11:24,974 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:11:24,974 | WARNING | aiogram.dispatcher | Sleep for 4.994533 seconds and try again... (tryings = 33, bot id = 8696591670)
2026-04-15 16:11:30,390 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:11:30,392 | WARNING | aiogram.dispatcher | Sleep for 4.897218 seconds and try again... (tryings = 34, bot id = 8696591670)
2026-04-15 16:11:35,400 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:11:35,401 | WARNING | aiogram.dispatcher | Sleep for 5.109196 seconds and try again... (tryings = 34, bot id = 8696591670)
2026-04-15 16:11:40,637 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:11:40,638 | WARNING | aiogram.dispatcher | Sleep for 5.039671 seconds and try again... (tryings = 35, bot id = 8696591670)
2026-04-15 16:11:45,785 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:11:45,785 | WARNING | aiogram.dispatcher | Sleep for 5.062208 seconds and try again... (tryings = 35, bot id = 8696591670)
